,Title,Rating,Genre
25,"Nanatsu no Taizai
The Seven Deadly Sins",7.94,"Genres: Action, Adventure, Ecchi, Fantasy, Magic, Shounen, Supernatural"
26,"Boku dake ga Inai Machi
ERASED",8.39,"Genres: Mystery, Psychological, Supernatural, Seinen"
27,Fairy Tail,7.71,"Genres: Action, Adventure, Comedy, Magic, Fantasy, Shounen"
28,"Koe no Katachi
A Silent Voice",9.00,"Genres: Drama, School, Shounen"
29,One Piece,8.49,"Genres: Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen"
30,Bleach,7.80,"Genres: Action, Adventure, Comedy, Super Power, Supernatural, Shounen"
31,Kill la Kill,8.12,"Genres: Action, Comedy, Super Power, Ecchi, School"
32,"Kimetsu no Yaiba
Demon Slayer: Kimetsu no Yaiba",8.66,"Genres: Action, Demons, Historical, Shounen, Supernatural"
33,"Boku no Hero Academia 3rd Season
My Hero Academia 3",8.31,"Genres: Action, Comedy, Super Power, School, Shounen"
34,"Code Geass: Hangyaku no Lelouch R2
Code Geass: Lelouch of the Rebellion R2",8.91,"Genres: Action, Military, Sci-Fi, Super Power, Drama, Mecha"
35,"Kono Subarashii Sekai ni Shukufuku wo!
KonoSuba: God's Blessing on This Wonderful World!",8.16,"Genres: Adventure, Comedy, Fantasy, Magic, Parody, Supernatural"
36,Cowboy Bebop,8.79,"Genres: Action, Adventure, Comedy, Drama, Sci-Fi, Space"
37,"Sen to Chihiro no Kamikakushi
Spirited Away",8.84,"Genres: Adventure, Supernatural, Drama"
38,"Tengen Toppa Gurren Lagann
Gurren Lagann",8.67,"Genres: Action, Adventure, Comedy, Mecha, Sci-Fi"
39,Soul Eater,7.90,"Genres: Action, Fantasy, Comedy, Supernatural, Shounen"
40,"Kiseijuu: Sei no Kakuritsu
Parasyte -the maxim-",8.41,"Genres: Action, Sci-Fi, Horror, Psychological, Drama, Seinen"
